Date Generated:  2023.07.11 10:40:15 AM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
decrypt.support@privyonline.com,Not Blocked
fimaribahundqf@gmx.com,Not Blocked
main-office@data-highstream.com,Blocked
prepalkeinuc0u@gmx.com,Not Blocked
tpyrcne@onionmail.org,Not Blocked
102.130.112.157,NXDOMAIN
172.106.112.46,NXDOMAIN
176.97.76.163,NXDOMAIN
192.160.102.164,NXDOMAIN
194.87.82.7,NXDOMAIN
195.123.246.20,NXDOMAIN
198.50.191.95,NXDOMAIN
206.197.244.75,NXDOMAIN
216.122.175.114,NXDOMAIN
46.4.20.30,NXDOMAIN
5.188.206.14,NXDOMAIN
5.8.18.233,NXDOMAIN
5.8.18.240,NXDOMAIN
80.94.95.103,NXDOMAIN
89.105.216.106,NXDOMAIN
92.118.36.199,NXDOMAIN
192.184.35.216,NXDOMAIN
anydeskupdate.com,Blocked
anydeskupdates.com,Blocked
ber6vjyb.com,Blocked
netviewremote.com,Blocked
study.abroad.ge,Not Blocked
upd343.winserverupdates.com,Blocked
upd488.windowservicecemter.com,Blocked
updateservicecenter.com,Blocked
windowcsupdates.com,Blocked
windowservicecemter.com,Blocked
windowservicecentar.com,Blocked
windowservicecenter.com,Blocked
winserverupdates.com,Blocked
